osm_id,population,source,place,is_in,name,name_ps,longitude,latitude,geom_type
287667,N/A,N/A,N/A,N/A,Costa Rica,کوسټاریکا,-84.7659504,8.3593642,relation
287668,N/A,N/A,N/A,N/A,Panamá,پاناما,-80.1051498,8.4248099,relation
287670,N/A,N/A,N/A,N/A,Honduras,هندوراس,-85.7692304,15.3001852,relation
287827,N/A,N/A,N/A,N/A,Belize,بېلیز,-88.2520457,17.1908214,relation
288247,N/A,N/A,N/A,N/A,Perú,پيرو,-76.6438221,-10.1188645,relation
295480,10344802,DGT - CAOP 2022,N/A,N/A,Portugal,پرتګال,-18.8733448,35.9912791,relation
296961,3497000,N/A,N/A,N/A,ኤርትራ Eritrea إرتريا,اریتریا,39.8667684,15.2129068,relation
299133,383726,N/A,N/A,N/A,Ísland,آيسلېنډ,-18.9090616,65.2194589,relation
303427,N/A,N/A,N/A,N/A,افغانستان,افغانستان,67.7037327,33.9341804,relation
304716,1428627663,N/A,N/A,N/A,India,هند,82.6750013,21.1138313,relation
304751,270203917,N/A,N/A,N/A,Indonesia,اندونيزيا,117.8955784,-2.4670586,relation
304934,N/A,N/A,N/A,N/A,العراق,عراق,43.9497047,33.2196174,relation
304938,79926270,N/A,N/A,N/A,ایران,ایران,53.6825806,32.3088854,relation
305092,30491000,N/A,N/A,N/A,اليمن,یمن,48.1735937,15.4542401,relation
305095,N/A,N/A,N/A,N/A,قطر,قطر,51.6027555,25.4526592,relation
305099,N/A,N/A,N/A,N/A,الكويت,کوېټ,47.7786823,29.3140852,relation
305138,N/A,N/A,N/A,N/A,عمان,عمان,56.0272887,21.5838194,relation
305142,N/A,N/A,N/A,N/A,Timor-Leste,N/A,125.7886763,-8.8628989,relation
307573,241499431,N/A,N/A,N/A,پاکستان,پاکستان,68.9966232,30.2591523,relation
307584,32175224,N/A,N/A,N/A,السعودية,سعودي عربستان,45.0619284,24.2221416,relation
307756,N/A,N/A,N/A,N/A,대한민국,سوېلي کوريا,128.2597577,35.7640878,relation
307763,N/A,N/A,N/A,N/A,الإمارات العربية المتحدة,عربي متحده امارات,54.0092586,24.3916716,relation
307787,N/A,N/A,N/A,N/A,Κύπρος - Kıbrıs,N/A,33.4390382,35.1758113,relation
